value,value1,name,piece
Poradové číslo:,43,REICHENTÁL FRANTIŠEK  (1895 - 1971),Zlievač II.
Nevydražené,,REICHENTÁL FRANTIŠEK  (1895 - 1971),Zlievač II.
Cena v predaji:,2 500 €,REICHENTÁL FRANTIŠEK  (1895 - 1971),Zlievač II.
Poradové číslo:,44,RUTTKAY-NEDECKÝ VILIAM  (1892 - 1967),Zátišie s krčahom a melónom
Nevydražené,,RUTTKAY-NEDECKÝ VILIAM  (1892 - 1967),Zátišie s krčahom a melónom
Cena v predaji:,2 000 €,RUTTKAY-NEDECKÝ VILIAM  (1892 - 1967),Zátišie s krčahom a melónom
Poradové číslo:,45,BENKA MARTIN (1888 - 1971),Zátišie s tekvicou a džbánom
Nevydražené,,BENKA MARTIN (1888 - 1971),Zátišie s tekvicou a džbánom
Cena v predaji:,45 000 €,BENKA MARTIN (1888 - 1971),Zátišie s tekvicou a džbánom
Poradové číslo:,46,ŠIMEROVÁ MARTINČEKOVÁ ESTER  (1909 - 2005),Kytica v keramickej váze
Nevydražené,,ŠIMEROVÁ MARTINČEKOVÁ ESTER  (1909 - 2005),Kytica v keramickej váze
Cena v predaji:,19 000 €,ŠIMEROVÁ MARTINČEKOVÁ ESTER  (1909 - 2005),Kytica v keramickej váze
Poradové číslo:,47,MUDROCH JÁN  (1909 - 1968),Zátišie s modranským džbánom a chryzantémami
Odhadovaná cena:,12 000 - 14 000 €,MUDROCH JÁN  (1909 - 1968),Zátišie s modranským džbánom a chryzantémami
Konečná cena:,12 000 €,MUDROCH JÁN  (1909 - 1968),Zátišie s modranským džbánom a chryzantémami
Poradové číslo:,49,SOKOL KOLOMAN  (1902 - 2001),Mexický život
Odhadovaná cena:,7 000- 9 000 €,SOKOL KOLOMAN  (1902 - 2001),Mexický život
Konečná cena:,7 000 €,SOKOL KOLOMAN  (1902 - 2001),Mexický život
Poradové číslo:,50,BENKA MARTIN (1888 - 1971),Cestou (Ružomberok)
Odhadovaná cena:,55 000 – 65 000 €,BENKA MARTIN (1888 - 1971),Cestou (Ružomberok)
Konečná cena:,63 000 €,BENKA MARTIN (1888 - 1971),Cestou (Ružomberok)
Poradové číslo:,51,ZMETÁK ERNEST  (1919 - 2004),Portrét brata Ľudovíta
Odhadovaná cena:,16 000- 18 000 €,ZMETÁK ERNEST  (1919 - 2004),Portrét brata Ľudovíta
Konečná cena:,14 000 €,ZMETÁK ERNEST  (1919 - 2004),Portrét brata Ľudovíta
Poradové číslo:,52,MALÝ FRANTIŠEK (1900 - 1980),Magické torzo
Odhadovaná cena:,3 000 - 4 000 €,MALÝ FRANTIŠEK (1900 - 1980),Magické torzo
Konečná cena:,4 200 €,MALÝ FRANTIŠEK (1900 - 1980),Magické torzo
Poradové číslo:,53,KRIVOŠ RUDOLF  (1933),Biologické husle
Nevydražené,,KRIVOŠ RUDOLF  (1933),Biologické husle
Cena v predaji:,10 000 €,KRIVOŠ RUDOLF  (1933),Biologické husle
Poradové číslo:,54,JAKOBY JÚLIUS  (1903 - 1985),Akt ženy so zrkadlom
Odhadovaná cena:,75 000 – 90 000 €,JAKOBY JÚLIUS  (1903 - 1985),Akt ženy so zrkadlom
Konečná cena:,80 000 €,JAKOBY JÚLIUS  (1903 - 1985),Akt ženy so zrkadlom
Poradové číslo:,55,JASUSCH ANTON  (1882 - 1965),Pred cirkusom
Nevydražené,,JASUSCH ANTON  (1882 - 1965),Pred cirkusom
Cena v predaji:,12 000 €,JASUSCH ANTON  (1882 - 1965),Pred cirkusom
Poradové číslo:,56,MUDROCH JÁN  (1909 - 1968),Priateľky
Nevydražené,,MUDROCH JÁN  (1909 - 1968),Priateľky
Cena v predaji:,15 000 €,MUDROCH JÁN  (1909 - 1968),Priateľky
Poradové číslo:,57,ZMETÁK ERNEST  (1919 - 2004),Autoportrét
Nevydražené,,ZMETÁK ERNEST  (1919 - 2004),Autoportrét
Cena v predaji:,3 000 €,ZMETÁK ERNEST  (1919 - 2004),Autoportrét
Poradové číslo:,58,LALUHA MILAN  (1930 - 2013),V krčme
Odhadovaná cena:,12 000 - 14 000 €,LALUHA MILAN  (1930 - 2013),V krčme
Konečná cena:,12 900 €,LALUHA MILAN  (1930 - 2013),V krčme
Poradové číslo:,59,KOMPÁNEK VLADIMÍR  (1927 - 2011),Penát
Odhadovaná cena:,2 500 – 2 800 €,KOMPÁNEK VLADIMÍR  (1927 - 2011),Penát
Konečná cena:,2 500 €,KOMPÁNEK VLADIMÍR  (1927 - 2011),Penát
Poradové číslo:,60,LALUHA MILAN  (1930 - 2013),Dvaja chlapi
Nevydražené,,LALUHA MILAN  (1930 - 2013),Dvaja chlapi
Cena v predaji:,10 000 €,LALUHA MILAN  (1930 - 2013),Dvaja chlapi
Poradové číslo:,61,KOMPÁNEK VLADIMÍR  (1927 - 2011),Štíty s mesiačkom
Odhadovaná cena:,2 500 – 3 500 €,KOMPÁNEK VLADIMÍR  (1927 - 2011),Štíty s mesiačkom
Konečná cena:,2 600 €,KOMPÁNEK VLADIMÍR  (1927 - 2011),Štíty s mesiačkom
Poradové číslo:,62,LALUHA MILAN  (1930 - 2013),Stromy
Nevydražené,,LALUHA MILAN  (1930 - 2013),Stromy
Cena v predaji:,64 000 €,LALUHA MILAN  (1930 - 2013),Stromy
Poradové číslo:,63, GUDERNA LADISLAV (1921 - 1999),Duch
Nevydražené,, GUDERNA LADISLAV (1921 - 1999),Duch
Cena v predaji:,6 000 €, GUDERNA LADISLAV (1921 - 1999),Duch
Poradové číslo:,64,BÁRTFAY TIBOR  (1922 - 2015),Zlaté rúno I.
Nevydražené,,BÁRTFAY TIBOR  (1922 - 2015),Zlaté rúno I.
Cena v predaji:,55 000 €,BÁRTFAY TIBOR  (1922 - 2015),Zlaté rúno I.
Poradové číslo:,65,BRUNOVSKÝ ALBÍN (1935 - 1997),Ilustrácia ku knihe Luskáčik
Odhadovaná cena:,3 800 - 4 500 €,BRUNOVSKÝ ALBÍN (1935 - 1997),Ilustrácia ku knihe Luskáčik
Konečná cena:,4 800 €,BRUNOVSKÝ ALBÍN (1935 - 1997),Ilustrácia ku knihe Luskáčik
Poradové číslo:,66,GUDERNA LADISLAV  (1921 - 1999),Chvíľa ticha
Nevydražené,,GUDERNA LADISLAV  (1921 - 1999),Chvíľa ticha
Cena v predaji:,22 000 €,GUDERNA LADISLAV  (1921 - 1999),Chvíľa ticha
Poradové číslo:,67,KRIVOŠ RUDOLF  (1933),Dvaja
Nevydražené,,KRIVOŠ RUDOLF  (1933),Dvaja
Cena v predaji:,15 000 €,KRIVOŠ RUDOLF  (1933),Dvaja
Poradové číslo:,68,PAŠTÉKA MILAN  (1931 - 1998),Torzo II.
Nevydražené,,PAŠTÉKA MILAN  (1931 - 1998),Torzo II.
Cena v predaji:,17 000 €,PAŠTÉKA MILAN  (1931 - 1998),Torzo II.
Poradové číslo:,69,HLOŽNÍK FERDINAND  (1921 - 2006),Ku hviezdam
Nevydražené,,HLOŽNÍK FERDINAND  (1921 - 2006),Ku hviezdam
Cena v predaji:,4 500 €,HLOŽNÍK FERDINAND  (1921 - 2006),Ku hviezdam
Poradové číslo:,70,SZÓBEL GÉZA (GEJZA) (1905 - 1964),Bez názvu
Odhadovaná cena:,6 000 – 7 000 €,SZÓBEL GÉZA (GEJZA) (1905 - 1964),Bez názvu
Konečná cena:,5 900 €,SZÓBEL GÉZA (GEJZA) (1905 - 1964),Bez názvu
Poradové číslo:,71,JANKOVIČ JOZEF (1937),Hlava (modrá)
Odhadovaná cena:,3 500 – 4 500 €,JANKOVIČ JOZEF (1937),Hlava (modrá)
Konečná cena:,4 700 €,JANKOVIČ JOZEF (1937),Hlava (modrá)
Poradové číslo:,72,KRAICOVÁ VIERA  (1920 - 2012),Malý príbeh veľkej vojny
Nevydražené,,KRAICOVÁ VIERA  (1920 - 2012),Malý príbeh veľkej vojny
Cena v predaji:,8 000 €,KRAICOVÁ VIERA  (1920 - 2012),Malý príbeh veľkej vojny
Poradové číslo:,73,ZORIČÁK (ZORITCHAK) JÁN (YAN)  (1944),Vesmírny posol
Odhadovaná cena:,9 000 – 10 000 €,ZORIČÁK (ZORITCHAK) JÁN (YAN)  (1944),Vesmírny posol
Konečná cena:,10 600 €,ZORIČÁK (ZORITCHAK) JÁN (YAN)  (1944),Vesmírny posol
Poradové číslo:,74,GUDERNA LADISLAV  (1921 - 1999),Totem lásky
Nevydražené,,GUDERNA LADISLAV  (1921 - 1999),Totem lásky
Cena v predaji:,11 000 €,GUDERNA LADISLAV  (1921 - 1999),Totem lásky
Poradové číslo:,75,POPOVIČ VLADIMÍR  (1939),Autostoppiste
Odhadovaná cena:,4 000 – 5 000 €,POPOVIČ VLADIMÍR  (1939),Autostoppiste
Konečná cena:,4 200 €,POPOVIČ VLADIMÍR  (1939),Autostoppiste
Poradové číslo:,76,BARTOŠ PETER  (1938),Skalná brána (v spolupráci s Iľjom Bartošom)
Odhadovaná cena:,2 000 – 3 000 €,BARTOŠ PETER  (1938),Skalná brána (v spolupráci s Iľjom Bartošom)
Konečná cena:,3 200 €,BARTOŠ PETER  (1938),Skalná brána (v spolupráci s Iľjom Bartošom)
Poradové číslo:,77,RAMPÁKOVÁ ĽUDMILA  (1945),Zachránila som aspoň túto skalu (v spolupráci s Petrom Bartošom)
Nevydražené,,RAMPÁKOVÁ ĽUDMILA  (1945),Zachránila som aspoň túto skalu (v spolupráci s Petrom Bartošom)
Cena v predaji:,500 €,RAMPÁKOVÁ ĽUDMILA  (1945),Zachránila som aspoň túto skalu (v spolupráci s Petrom Bartošom)
Poradové číslo:,78,ADAMČIAK MILAN (1946 - 2017),Okupácia
Nevydražené,,ADAMČIAK MILAN (1946 - 2017),Okupácia
Cena v predaji:,1 200 €,ADAMČIAK MILAN (1946 - 2017),Okupácia
Poradové číslo:,79,KOLLER JÚLIUS  (1939 - 2007),Invázia (Antiobraz)
Odhadovaná cena:,9 000 – 11 000 €,KOLLER JÚLIUS  (1939 - 2007),Invázia (Antiobraz)
Konečná cena:,31 000 €,KOLLER JÚLIUS  (1939 - 2007),Invázia (Antiobraz)
Poradové číslo:,80, FILKO STANO (1937 - 2015),Zbojníci
Odhadovaná cena:,8 000 – 10 000 €, FILKO STANO (1937 - 2015),Zbojníci
Konečná cena:,11 500 €, FILKO STANO (1937 - 2015),Zbojníci
Poradové číslo:,81,KRÉN MATEJ   (1958),Zátišie s vodnou fajkou
Nevydražené,,KRÉN MATEJ   (1958),Zátišie s vodnou fajkou
Cena v predaji:,22 000 €,KRÉN MATEJ   (1958),Zátišie s vodnou fajkou
Poradové číslo:,82,ŠPAŇHEL JAKUB  (1976),Zlatý luster
Odhadovaná cena:,5 000 – 6 000 €,ŠPAŇHEL JAKUB  (1976),Zlatý luster
Konečná cena:,5 800 €,ŠPAŇHEL JAKUB  (1976),Zlatý luster
Poradové číslo:,83,KOSICE GYULA  (1924 - 2016),Pocta mestu Košice
Odhadovaná cena:,20 000 – 25 000 €,KOSICE GYULA  (1924 - 2016),Pocta mestu Košice
Konečná cena:,20 000 €,KOSICE GYULA  (1924 - 2016),Pocta mestu Košice
Poradové číslo:,84,KOSICE GYULA (1924 - 2016),Hydro-kinetický objekt
Odhadovaná cena:,3 000 – 4 000 €,KOSICE GYULA (1924 - 2016),Hydro-kinetický objekt
Konečná cena:,3 000 €,KOSICE GYULA (1924 - 2016),Hydro-kinetický objekt
Poradové číslo:,85,HAVRILLA VLADIMÍR  (1943),Slovenský kubizmus
Nevydražené,,HAVRILLA VLADIMÍR  (1943),Slovenský kubizmus
Cena v predaji:,3 000 €,HAVRILLA VLADIMÍR  (1943),Slovenský kubizmus
Poradové číslo:,86,PÍSAŘÍK PETR  (1968),Bez názvu
Odhadovaná cena:,4 000 – 5 000 €,PÍSAŘÍK PETR  (1968),Bez názvu
Konečná cena:,4 000 €,PÍSAŘÍK PETR  (1968),Bez názvu
Poradové číslo:,87,CSUDAI IVAN  (1959),Nosič zástav II.
Odhadovaná cena:,8 000 – 9 000 €,CSUDAI IVAN  (1959),Nosič zástav II.
Konečná cena:,9 000 €,CSUDAI IVAN  (1959),Nosič zástav II.
Poradové číslo:,88,ČERNÝ STANO  (1956),Mosquito
Odhadovaná cena:,2 000 – 3 000 €,ČERNÝ STANO  (1956),Mosquito
Konečná cena:,2 000 €,ČERNÝ STANO  (1956),Mosquito
Poradové číslo:,89,ORMANDÍK MAREK  (1968),Satyr
Nevydražené,,ORMANDÍK MAREK  (1968),Satyr
Cena v predaji:,5 200 €,ORMANDÍK MAREK  (1968),Satyr
Poradové číslo:,90,CSUDAI IVAN (1959) - DIVIŠ STANISLAV  (1953) - TEREN LACO  (1960),Dlhá cesta domov
Odhadovaná cena:,4 000 – 5 000 €,CSUDAI IVAN (1959) - DIVIŠ STANISLAV  (1953) - TEREN LACO  (1960),Dlhá cesta domov
Konečná cena:,4 000 €,CSUDAI IVAN (1959) - DIVIŠ STANISLAV  (1953) - TEREN LACO  (1960),Dlhá cesta domov
Poradové číslo:,91,ŠILLE ERIK  (1978),Chýbaš mi veľmi
Nevydražené,,ŠILLE ERIK  (1978),Chýbaš mi veľmi
Cena v predaji:,5 000 €,ŠILLE ERIK  (1978),Chýbaš mi veľmi
Poradové číslo:,92,SADOVSKÁ DOROTA  (1973),"Oko nikdy neklame, ani netvrdí pravdu IV."
Odhadovaná cena:,4 000 – 5 000 €,SADOVSKÁ DOROTA  (1973),"Oko nikdy neklame, ani netvrdí pravdu IV."
Konečná cena:,3 900 €,SADOVSKÁ DOROTA  (1973),"Oko nikdy neklame, ani netvrdí pravdu IV."
Poradové číslo:,93, BIELIK ROBERT (1963),Ježiško so svätými zvieratkami nad Bratislavou
Nevydražené,, BIELIK ROBERT (1963),Ježiško so svätými zvieratkami nad Bratislavou
Cena v predaji:,13 000 €, BIELIK ROBERT (1963),Ježiško so svätými zvieratkami nad Bratislavou
Poradové číslo:,94,FREŠO VIKTOR  (1974),Viki
Odhadovaná cena:,7 000 – 8 000 €,FREŠO VIKTOR  (1974),Viki
Konečná cena:,6 800 €,FREŠO VIKTOR  (1974),Viki
Poradové číslo:,95,FABIAN MATEJ  (1979),Robotic girl
Nevydražené,,FABIAN MATEJ  (1979),Robotic girl
Cena v predaji:,2 500 €,FABIAN MATEJ  (1979),Robotic girl
Poradové číslo:,96,BINDER ERIK  (1974),Žakpot
Nevydražené,,BINDER ERIK  (1974),Žakpot
Cena v predaji:,2 800 €,BINDER ERIK  (1974),Žakpot
Poradové číslo:,1,LADVENICA JÁN (1898 - 1947),Sedem zhavranených bratov
Nevydražené,,LADVENICA JÁN (1898 - 1947),Sedem zhavranených bratov
Cena v predaji:,280 €,LADVENICA JÁN (1898 - 1947),Sedem zhavranených bratov
Poradové číslo:,2,KAJLICH AUREL (1901 - 1973),Dve ženy
Vyvolávacia cena:,350 €,KAJLICH AUREL (1901 - 1973),Dve ženy
Konečná cena:,850 €,KAJLICH AUREL (1901 - 1973),Dve ženy
Poradové číslo:,3,AUGUSTA JAROSLAV (1878 - 1970),Žena s dieťaťom  (Na lúke)
Vyvolávacia cena:,280 €,AUGUSTA JAROSLAV (1878 - 1970),Žena s dieťaťom  (Na lúke)
Konečná cena:,150 €,AUGUSTA JAROSLAV (1878 - 1970),Žena s dieťaťom  (Na lúke)
Poradové číslo:,4,KRIŽAN ĽUDOVÍT (1900 - 1979),Tatranské končiare
Vyvolávacia cena:,250 €,KRIŽAN ĽUDOVÍT (1900 - 1979),Tatranské končiare
Konečná cena:,400 €,KRIŽAN ĽUDOVÍT (1900 - 1979),Tatranské končiare
Poradové číslo:,5,KRIŽAN ĽUDOVÍT (1900 - 1979),Hmla v Tatrách
Vyvolávacia cena:,250 €,KRIŽAN ĽUDOVÍT (1900 - 1979),Hmla v Tatrách
Konečná cena:,300 €,KRIŽAN ĽUDOVÍT (1900 - 1979),Hmla v Tatrách
Poradové číslo:,6,GROTKOVSKÝ JÁN (1902 - 1961),Tatry
Vyvolávacia cena:,320 €,GROTKOVSKÝ JÁN (1902 - 1961),Tatry
Konečná cena:,400 €,GROTKOVSKÝ JÁN (1902 - 1961),Tatry
Poradové číslo:,7,BERECZ LADISLAV (1910 - 1972),Záhradná slávnosť
Nevydražené,,BERECZ LADISLAV (1910 - 1972),Záhradná slávnosť
Cena v predaji:,700 €,BERECZ LADISLAV (1910 - 1972),Záhradná slávnosť
Poradové číslo:,8,BERECZ LADISLAV (1910 - 1972),Pleso v Tatrách
Vyvolávacia cena:,300 €,BERECZ LADISLAV (1910 - 1972),Pleso v Tatrách
Konečná cena:,300 €,BERECZ LADISLAV (1910 - 1972),Pleso v Tatrách
Poradové číslo:,9,BERECZ LADISLAV (1910 - 1972),Kríž pod Tatrami
Vyvolávacia cena:,60 €,BERECZ LADISLAV (1910 - 1972),Kríž pod Tatrami
Konečná cena:,60 €,BERECZ LADISLAV (1910 - 1972),Kríž pod Tatrami
Poradové číslo:,10,BIZMAYER IGNÁC (1922),Zrkadlo (rám)
Vyvolávacia cena:,1 500 €,BIZMAYER IGNÁC (1922),Zrkadlo (rám)
Konečná cena:,1 500 €,BIZMAYER IGNÁC (1922),Zrkadlo (rám)
Poradové číslo:,11,KUDLÁK ĽUDOVÍT (1890 - 1960),Kytica orgovánov
Nevydražené,,KUDLÁK ĽUDOVÍT (1890 - 1960),Kytica orgovánov
Cena v predaji:,1 400 €,KUDLÁK ĽUDOVÍT (1890 - 1960),Kytica orgovánov
Poradové číslo:,12,ŠIMURDA MILOŠ (1924),Kytica
Nevydražené,,ŠIMURDA MILOŠ (1924),Kytica
Cena v predaji:,250 €,ŠIMURDA MILOŠ (1924),Kytica
Poradové číslo:,13,PAULOVIČ EMIL (1922 - 2004),Kytica v keramickom džbáne
Vyvolávacia cena:,500 €,PAULOVIČ EMIL (1922 - 2004),Kytica v keramickom džbáne
Konečná cena:,500 €,PAULOVIČ EMIL (1922 - 2004),Kytica v keramickom džbáne
Poradové číslo:,14,SCHILLEROVÁ GABRIELA (1924 - 1993),Chryzantémy
Vyvolávacia cena:,180 €,SCHILLEROVÁ GABRIELA (1924 - 1993),Chryzantémy
Konečná cena:,180 €,SCHILLEROVÁ GABRIELA (1924 - 1993),Chryzantémy
Poradové číslo:,15,SCHILLEROVÁ GABRIELA (1924 - 1993),Zátišie s jabĺčkami
Vyvolávacia cena:,280 €,SCHILLEROVÁ GABRIELA (1924 - 1993),Zátišie s jabĺčkami
Konečná cena:,280 €,SCHILLEROVÁ GABRIELA (1924 - 1993),Zátišie s jabĺčkami
Poradové číslo:,16,SPANNEROVÁ EDITA (1919 - 1990),Zamyslená
Vyvolávacia cena:,400 €,SPANNEROVÁ EDITA (1919 - 1990),Zamyslená
Konečná cena:,400 €,SPANNEROVÁ EDITA (1919 - 1990),Zamyslená
Poradové číslo:,17,SPANNEROVÁ EDITA (1919 - 1990),Dievča s vážkou
Vyvolávacia cena:,350 €,SPANNEROVÁ EDITA (1919 - 1990),Dievča s vážkou
Konečná cena:,550 €,SPANNEROVÁ EDITA (1919 - 1990),Dievča s vážkou
Poradové číslo:,18,CVENGROŠOVÁ LUDMILA (1937),Materstvo
Nevydražené,,CVENGROŠOVÁ LUDMILA (1937),Materstvo
Cena v predaji:,850 €,CVENGROŠOVÁ LUDMILA (1937),Materstvo
Poradové číslo:,19,BÁRTFAY TIBOR (1922 - 2015),Žena s dieťaťom
Nevydražené,,BÁRTFAY TIBOR (1922 - 2015),Žena s dieťaťom
Cena v predaji:,800 €,BÁRTFAY TIBOR (1922 - 2015),Žena s dieťaťom
Poradové číslo:,20,DOBOŠ ANDREJ (1911 - 1997),Z poľa
Vyvolávacia cena:,830 €,DOBOŠ ANDREJ (1911 - 1997),Z poľa
Konečná cena:,830 €,DOBOŠ ANDREJ (1911 - 1997),Z poľa
Poradové číslo:,21,SZABÓ ALEXANDER (1921- 1997),Cesta do kopca
Vyvolávacia cena:,90 €,SZABÓ ALEXANDER (1921- 1997),Cesta do kopca
Konečná cena:,190 €,SZABÓ ALEXANDER (1921- 1997),Cesta do kopca
Poradové číslo:,22,ČEMICKÝ LADISLAV (1909 - 2000),Na okraji lesa
Vyvolávacia cena:,500 €,ČEMICKÝ LADISLAV (1909 - 2000),Na okraji lesa
Konečná cena:,450 €,ČEMICKÝ LADISLAV (1909 - 2000),Na okraji lesa
Poradové číslo:,23,ČEMICKÝ LADISLAV (1909 - 2000),Náhorná planina
Vyvolávacia cena:,400 €,ČEMICKÝ LADISLAV (1909 - 2000),Náhorná planina
Konečná cena:,400 €,ČEMICKÝ LADISLAV (1909 - 2000),Náhorná planina
Poradové číslo:,24,ČEMICKÝ LADISLAV (1909 - 2000),Pri jazere
Vyvolávacia cena:,200 €,ČEMICKÝ LADISLAV (1909 - 2000),Pri jazere
Konečná cena:,230 €,ČEMICKÝ LADISLAV (1909 - 2000),Pri jazere
Poradové číslo:,25,NEMČÍK JÚLIUS (1909 - 1986),Z pod Tatier
Vyvolávacia cena:,250 €,NEMČÍK JÚLIUS (1909 - 1986),Z pod Tatier
Konečná cena:,250 €,NEMČÍK JÚLIUS (1909 - 1986),Z pod Tatier
Poradové číslo:,26,ŠTURDÍK JOZEF (1920 - 1992),Jarná búrka
Vyvolávacia cena:,350 €,ŠTURDÍK JOZEF (1920 - 1992),Jarná búrka
Konečná cena:,400 €,ŠTURDÍK JOZEF (1920 - 1992),Jarná búrka
Poradové číslo:,27,ORAVECZ (ORAVETZ) IMRICH (1894 - 1971),Pri žatve
Nevydražené,,ORAVECZ (ORAVETZ) IMRICH (1894 - 1971),Pri žatve
Cena v predaji:,100 €,ORAVECZ (ORAVETZ) IMRICH (1894 - 1971),Pri žatve
Poradové číslo:,28,GAŠPAR MILAN (1926),Pohľad na Bratislavský hrad od Slavína
Vyvolávacia cena:,1 500 €,GAŠPAR MILAN (1926),Pohľad na Bratislavský hrad od Slavína
Konečná cena:,1 500 €,GAŠPAR MILAN (1926),Pohľad na Bratislavský hrad od Slavína
Poradové číslo:,29,GROSS (GROSZ) HUGO (1894 - 1971),Pohľad na Trenčiansky hrad
Vyvolávacia cena:,300 €,GROSS (GROSZ) HUGO (1894 - 1971),Pohľad na Trenčiansky hrad
Konečná cena:,350 €,GROSS (GROSZ) HUGO (1894 - 1971),Pohľad na Trenčiansky hrad
Poradové číslo:,30,TILLNER MICHAL (1895 - 1975),Michalská brána v Bratislave
Vyvolávacia cena:,380 €,TILLNER MICHAL (1895 - 1975),Michalská brána v Bratislave
Konečná cena:,380 €,TILLNER MICHAL (1895 - 1975),Michalská brána v Bratislave
Poradové číslo:,32,BOHÚŇ PETER M. SLAVOMIL (1822 - 1879),Portrét mladej meštianky
Vyvolávacia cena:,4 000 €,BOHÚŇ PETER M. SLAVOMIL (1822 - 1879),Portrét mladej meštianky
Konečná cena:,3 200 €,BOHÚŇ PETER M. SLAVOMIL (1822 - 1879),Portrét mladej meštianky
Poradové číslo:,33,KERN HERMAN (1838 - 1912),Huslista
Nevydražené,,KERN HERMAN (1838 - 1912),Huslista
Cena v predaji:,4 200 €,KERN HERMAN (1838 - 1912),Huslista
Poradové číslo:,34,KERN HERMAN (1838 - 1912),Dedinská veselica
Nevydražené,,KERN HERMAN (1838 - 1912),Dedinská veselica
Cena v predaji:,1 000 €,KERN HERMAN (1838 - 1912),Dedinská veselica
Poradové číslo:,35,BEREGI SAMUEL WELBER SÁNDOR (1876 - 1943),V knižnici
Vyvolávacia cena:,400 €,BEREGI SAMUEL WELBER SÁNDOR (1876 - 1943),V knižnici
Konečná cena:,400 €,BEREGI SAMUEL WELBER SÁNDOR (1876 - 1943),V knižnici
Poradové číslo:,36,BEREGI SAMUEL WELBER SÁNDOR (1876 - 1943),Rabín
Vyvolávacia cena:,290 €,BEREGI SAMUEL WELBER SÁNDOR (1876 - 1943),Rabín
Konečná cena:,800 €,BEREGI SAMUEL WELBER SÁNDOR (1876 - 1943),Rabín
Poradové číslo:,39,MEDNYÁNSZKY LADISLAV (1852 - 1919),Hlboko v lese
Vyvolávacia cena:,20 000 €,MEDNYÁNSZKY LADISLAV (1852 - 1919),Hlboko v lese
Konečná cena:,16 000 €,MEDNYÁNSZKY LADISLAV (1852 - 1919),Hlboko v lese
Poradové číslo:,40,MEDNYÁNSZKY LADISLAV (1852 - 1919),Portrét chlapca
Vyvolávacia cena:,4 500 €,MEDNYÁNSZKY LADISLAV (1852 - 1919),Portrét chlapca
Konečná cena:,4 500 €,MEDNYÁNSZKY LADISLAV (1852 - 1919),Portrét chlapca
Poradové číslo:,43,MEDNYÁNSZKY LADISLAV (1852 - 1919),Muž s cigaretou
Vyvolávacia cena:,2 000 €,MEDNYÁNSZKY LADISLAV (1852 - 1919),Muž s cigaretou
Konečná cena:,2 000 €,MEDNYÁNSZKY LADISLAV (1852 - 1919),Muž s cigaretou
Poradové číslo:,44,MEDNYÁNSZKY LADISLAV (1852 - 1919),Motív zo Strážok
Vyvolávacia cena:,1 000 €,MEDNYÁNSZKY LADISLAV (1852 - 1919),Motív zo Strážok
Konečná cena:,800 €,MEDNYÁNSZKY LADISLAV (1852 - 1919),Motív zo Strážok
Poradové číslo:,45,MEDNYÁNSZKY LADISLAV (1852 - 1919),Kaštieľ v Strážkach 
Vyvolávacia cena:,1 500 €,MEDNYÁNSZKY LADISLAV (1852 - 1919),Kaštieľ v Strážkach 
Konečná cena:,2 200 €,MEDNYÁNSZKY LADISLAV (1852 - 1919),Kaštieľ v Strážkach 
Poradové číslo:,46,KATONA NÁNDOR (1864 - 1932),Horská rieka
Vyvolávacia cena:,180 €,KATONA NÁNDOR (1864 - 1932),Horská rieka
Konečná cena:,210 €,KATONA NÁNDOR (1864 - 1932),Horská rieka
Poradové číslo:,47,CSORDÁK ĽUDOVÍT (1864 - 1937),Vnútro lesa
Vyvolávacia cena:,1 800 €,CSORDÁK ĽUDOVÍT (1864 - 1937),Vnútro lesa
Konečná cena:,3 800 €,CSORDÁK ĽUDOVÍT (1864 - 1937),Vnútro lesa
Poradové číslo:,49,MOUSSON JOZEF TEODOR (1887 - 1946),Ženy na trhu I.
Vyvolávacia cena:,5 500 €,MOUSSON JOZEF TEODOR (1887 - 1946),Ženy na trhu I.
Konečná cena:,5 500 €,MOUSSON JOZEF TEODOR (1887 - 1946),Ženy na trhu I.
Poradové číslo:,50,MOUSSON JOZEF TEODOR (1887 - 1946),Ženy na trhu II.
Vyvolávacia cena:,5 500 €,MOUSSON JOZEF TEODOR (1887 - 1946),Ženy na trhu II.
Konečná cena:,5 500 €,MOUSSON JOZEF TEODOR (1887 - 1946),Ženy na trhu II.
Poradové číslo:,51,ANGYAL GEJZA (1888 - 1956),Letecký útok
Nevydražené,,ANGYAL GEJZA (1888 - 1956),Letecký útok
Cena v predaji:,1 300 €,ANGYAL GEJZA (1888 - 1956),Letecký útok
Poradové číslo:,52,HÁLA JAN (1890 - 1959),Rozkvitnutý strom
Nevydražené,,HÁLA JAN (1890 - 1959),Rozkvitnutý strom
Cena v predaji:,790 €,HÁLA JAN (1890 - 1959),Rozkvitnutý strom
Poradové číslo:,54,JAKOBY JÚLIUS (1903 - 1985),Pri košických hámroch
Vyvolávacia cena:,9 000 €,JAKOBY JÚLIUS (1903 - 1985),Pri košických hámroch
Konečná cena:,7 400 €,JAKOBY JÚLIUS (1903 - 1985),Pri košických hámroch
Poradové číslo:,55,BÁRTFAY JÚLIUS (1888 - 1979),Pribina
Vyvolávacia cena:,950 €,BÁRTFAY JÚLIUS (1888 - 1979),Pribina
Konečná cena:,950 €,BÁRTFAY JÚLIUS (1888 - 1979),Pribina
Poradové číslo:,56,BÁRTFAY JÚLIUS (1888 - 1979),Hlava tanečnice
Vyvolávacia cena:,600 €,BÁRTFAY JÚLIUS (1888 - 1979),Hlava tanečnice
