name,piece,id,nevydražené,poradové_číslo,vyvolávacia_cena,konečná_cena,cena_v predaji,odhadovaná_cena,vysledok
,ART DECO NÁHRDELNÍK, ART DECO NÁHRDELNÍK,NA,277,7600,NA,NA,NA,NA
,ART DECO NÁUŠNICE, ART DECO NÁUŠNICE,NA,290,3500,NA,NA,NA,NA
,ART DECO PRÍVESOK, ART DECO PRÍVESOK,NA,292,11500,9300,NA,NA,-2200
,ART DECO PRÍVESOK S PERLOU A DIAMANTAMI, ART DECO PRÍVESOK S PERLOU A DIAMANTAMI,NA,293,2500,NA,NA,NA,NA
,ART DECO PRSTEŇ, ART DECO PRSTEŇ,NA,273,600,NA,NA,NA,NA
,ART DECO VÁZA, ART DECO VÁZA,NA,329,500,NA,NA,NA,NA
,Barokový príborník, Barokový príborník,NA,328,1900,NA,NA,NA,NA
,Barokový stolík, Barokový stolík,NA,329,1900,NA,NA,NA,NA
,BIEDERMEIER NÁHRDELNÍK, BIEDERMEIER NÁHRDELNÍK,NA,240,1800,NA,NA,NA,NA
 BIELIK ROBERT (1963),Ježiško so svätými zvieratkami nad Bratislavou, BIELIK ROBERT (1963) Ježiško so svätými zvieratkami nad Bratislavou,NA,93,NA,NA,13 000 €,NA,NA
,BONBONIÉRA, BONBONIÉRA,NA,345,300,NA,NA,NA,NA
,BRILIANTOVÁ BROŠŇA, BRILIANTOVÁ BROŠŇA,NA,297,3100,NA,NA,NA,NA
,BRILIANTOVÉ NÁUŠNICE, BRILIANTOVÉ NÁUŠNICE,NA,289,5400,NA,NA,NA,NA
,Briliantový dámsky prsteň, Briliantový dámsky prsteň,NA,298,1200,1200,NA,NA,0
,BRILIANTOVÝ NÁHRDELNÍK, BRILIANTOVÝ NÁHRDELNÍK,NA,279,4900,NA,NA,NA,NA
,BRILIANTOVÝ NÁHRDELNÍK SO SMARAGDAMI, BRILIANTOVÝ NÁHRDELNÍK SO SMARAGDAMI,NA,237,6e3,6e3,NA,NA,0
,Briliantový prívesok, Briliantový prívesok,NA,294,1600,NA,NA,NA,NA
,Briliantový prsteň, Briliantový prsteň,NA,286,7e3,7e3,NA,NA,0
,BROŠŇA, BROŠŇA,NA,301,450,NA,NA,NA,NA
,Brošna ART DECO, Brošna ART DECO,NA,284,4900,4e3,NA,NA,-900
,BROŠŇA S HLAVOU ČERNOŠKA, BROŠŇA S HLAVOU ČERNOŠKA,NA,300,600,NA,NA,NA,NA
,BROŠŇA S MINIATÚROU, BROŠŇA S MINIATÚROU,NA,298,700,NA,NA,NA,NA
,Brošňa so smaragdom a diamantmi, Brošňa so smaragdom a diamantmi,NA,302,6700,NA,NA,NA,NA
,BROŠŇA V TVARE KVETU, BROŠŇA V TVARE KVETU,NA,299,600,NA,NA,NA,NA
,Buldog - dóza na tabletky, Buldog - dóza na tabletky,NA,292,650,NA,NA,NA,NA
,Butony - briliantové náušnice, Butony - briliantové náušnice,NA,319,650,NA,NA,NA,NA
,Čajová súprava, Čajová súprava,NA,279,1200,NA,NA,NA,NA
,Čajová súprava pre 12 osôb, Čajová súprava pre 12 osôb,NA,278,1e3,800,NA,NA,-200
,CARTELOVÉ HODINY, CARTELOVÉ HODINY,NA,316,5e3,4100,NA,NA,-900
,Chlapec s fajkou v kresle, Chlapec s fajkou v kresle,NA,280,1500,NA,NA,NA,NA
,Čínske komodové hodiny, Čínske komodové hodiny,NA,325,2e3,NA,NA,NA,NA
,Dáma s vejárom v žltej čipkovanej sukni, Dáma s vejárom v žltej čipkovanej sukni,NA,281,800,NA,NA,NA,NA
,Dáma v čipkovanej sukni s listom a vejárom, Dáma v čipkovanej sukni s listom a vejárom,NA,282,800,NA,NA,NA,NA
,Dámsky diamantový prsteň, Dámsky diamantový prsteň,NA,300a,59e3,NA,NA,NA,NA
,Dámsky písací stolík, Dámsky písací stolík,NA,326,350,280,NA,NA,-70
,Diamantový prívesok, Diamantový prívesok,NA,281,9e3,NA,NA,NA,NA
,Diamantový prívesok - krížik, Diamantový prívesok - krížik,NA,279,1e4,NA,NA,NA,NA
,DIAMANTOVÝ PRSTEŇ, DIAMANTOVÝ PRSTEŇ,NA,272,650,NA,NA,NA,NA
,Diamantový prsteň v tvare kvetu, Diamantový prsteň v tvare kvetu,NA,295,450,350,NA,NA,-100
,Dievča na balkóne, Dievča na balkóne,NA,283,700,NA,NA,NA,NA
,Dóza, Dóza,NA,298,450,NA,NA,NA,NA
,DÓZA NA BONBÓNY, DÓZA NA BONBÓNY,NA,330,200,NA,NA,NA,NA
,DÓZA NA CIGARETY, DÓZA NA CIGARETY,NA,305,2e3,NA,NA,NA,NA
,DÓZA S GALANTNOU SCÉNOU, DÓZA S GALANTNOU SCÉNOU,NA,319,2e3,NA,NA,NA,NA
,DÓZA S MEDVEĎOM, DÓZA S MEDVEĎOM,NA,326,900,900,NA,NA,0
,Drevená kazeta, Drevená kazeta,NA,317,400,NA,NA,NA,NA
,DVA PRSTENE ALEBO NÁUŠNICE, DVA PRSTENE ALEBO NÁUŠNICE,NA,267,9400,NA,NA,NA,NA
,Dvojradový perlový náhrdelník, Dvojradový perlový náhrdelník,NA,278,7600,NA,NA,NA,NA
,EMAILOVÝ RÁMIK, EMAILOVÝ RÁMIK,NA,307,1e3,NA,NA,NA,NA
,Empírová váza s vekom (Francúzsko), Empírová váza s vekom (Francúzsko),NA,306,1800,NA,NA,NA,NA
,Empírová žardiniéra, Empírová žardiniéra,NA,304,2e3,NA,NA,NA,NA
,Empírové hodiny, Empírové hodiny,NA,324,3e3,NA,NA,NA,NA
,Empírové hodiny s alegóriou písomníctva, Empírové hodiny s alegóriou písomníctva,NA,279,1900,NA,NA,NA,NA
,Empírové zrkadlo, Empírové zrkadlo,NA,316,3e3,4800,NA,NA,1800
 FILKO STANO (1937 - 2015),Zbojníci, FILKO STANO (1937 - 2015) Zbojníci,NA,80,NA,11500,NA,8 000 – 10 000 €,NA
,FLAKÓN, FLAKÓN,NA,308,1700,NA,NA,NA,NA
,FLAKÓN PRE PARFÉM NINA RICCI, FLAKÓN PRE PARFÉM NINA RICCI,NA,334,800,NA,NA,NA,NA
,FĽAŠKA NA ALKOHOL V STRIEBORNEJ MONTÁŽI S MONOGRAMOM FB, FĽAŠKA NA ALKOHOL V STRIEBORNEJ MONTÁŽI S MONOGRAMOM FB,NA,335,600,NA,NA,NA,NA
,Gavalier, Gavalier,NA,284,600,NA,NA,NA,NA
,Glóbus, Glóbus,NA,315,2500,NA,NA,NA,NA
,Gondoliér, Gondoliér,NA,279,1500,NA,NA,NA,NA
 GUDERNA LADISLAV (1921 - 1999),Duch, GUDERNA LADISLAV (1921 - 1999) Duch,NA,63,NA,NA,6 000 €,NA,NA
,HODINY V TVARE LÝRY, HODINY V TVARE LÝRY,NA,247,2900,2900,NA,NA,0
,HON NA LÍŠKU, HON NA LÍŠKU,NA,235,3400,NA,NA,NA,NA
,Intarzovaný dvojetážový stolík, Intarzovaný dvojetážový stolík,NA,319,400,450,NA,NA,50
,Jazdec na koni (Anglicko), Jazdec na koni (Anglicko),NA,273,2500,NA,NA,NA,NA
,Keramický akt Art Deco, Keramický akt Art Deco,NA,284,250,NA,NA,NA,NA
,klenený pohár s rytým motívom koňa, klenený pohár s rytým motívom koňa,NA,275,1900,NA,NA,NA,NA
,KOMODA, KOMODA,NA,347,350,350,NA,NA,0
,Komodové hodiny, Komodové hodiny,NA,276,6e3,NA,NA,NA,NA
,KOMODOVÉ HODINY, KOMODOVÉ HODINY,NA,317,3800,NA,NA,NA,NA
,Komodové hodiny na nôžkach (Bamberg – Nemecko), Komodové hodiny na nôžkach (Bamberg – Nemecko),NA,266,3850,3850,NA,NA,0
,Komodové hodiny v štýle Boulle, Komodové hodiny v štýle Boulle,NA,323,1700,1700,NA,NA,0
,KOMODOVÉ HODINY V ŠTÝLE BOULLE, KOMODOVÉ HODINY V ŠTÝLE BOULLE,NA,313,6800,NA,NA,NA,NA
,Komodové hodiny v štýle Boullé (Francúzsko), Komodové hodiny v štýle Boullé (Francúzsko),NA,267,5400,4300,NA,NA,-1100
,Konzola s maĽovaným kvetinovým motívom, Konzola s maĽovaným kvetinovým motívom,NA,291,1500,NA,NA,NA,NA
,Konzolové hodiny, Konzolové hodiny,NA,280,6e3,4800,NA,NA,-1200
,Konzolové hodiny - Špindlovky, Konzolové hodiny - Špindlovky,NA,275,4e3,4e3,NA,NA,0
,Konzolové hodiny Boullé (Francúzsko), Konzolové hodiny Boullé (Francúzsko),NA,265,7500,7500,NA,NA,0
,KORBEĽ S VEKOM - BAKCHANÁLIE, KORBEĽ S VEKOM - BAKCHANÁLIE,NA,340,900,NA,NA,NA,NA
,Kozliatko, Kozliatko,NA,285,400,NA,NA,NA,NA
,Kozubové hodiny Boullé - Špindlovky Čierne, Kozubové hodiny Boullé - Špindlovky Čierne,NA,274,5100,NA,NA,NA,NA
,Kozubové hodiny v štýle Boullé, Kozubové hodiny v štýle Boullé,NA,270,1800,NA,NA,NA,NA
,KOZUBOVÉ HODINY V ŠTÝLE BOULLÉ, KOZUBOVÉ HODINY V ŠTÝLE BOULLÉ,NA,243,5100,NA,NA,NA,NA
,KRBOVÉ HODINY V ŠTÝLE BOULLE, KRBOVÉ HODINY V ŠTÝLE BOULLE,NA,315,5500,NA,NA,NA,NA
,KRÍŽ S DIAMANTOM, KRÍŽ S DIAMANTOM,NA,294,1300,NA,NA,NA,NA
,LISTOVÁ SÚPRAVA, LISTOVÁ SÚPRAVA,NA,310,2e3,2e3,NA,NA,0
,Madona z Mariazellu, Madona z Mariazellu,NA,272,200,300,NA,NA,100
,Mahagónový stolík so zásuvkou, Mahagónový stolík so zásuvkou,NA,309,250,400,NA,NA,150
,Malá loď  (Holandsko), Malá loď  (Holandsko),NA,275,1300,1050,NA,NA,-250
,Malá secesná žardiniérka, Malá secesná žardiniérka,NA,296,300,300,NA,NA,0
,MALACHITOVÁ DÓZA, MALACHITOVÁ DÓZA,NA,309,850,NA,NA,NA,NA
,Malé cartelové hodiny, Malé cartelové hodiny,NA,278,1950,1600,NA,NA,-350
,Misa, Misa,NA,303,400,NA,NA,NA,NA
,Misa s prelamovaným okrajom, Misa s prelamovaným okrajom,NA,270,500,400,NA,NA,-100
,MLIEČNIK, MLIEČNIK,NA,331,200,NA,NA,NA,NA
,Mosadzná šperkovnica, Mosadzná šperkovnica,NA,318,500,NA,NA,NA,NA
,Mosadzné hodiny v rokokovom štýle, Mosadzné hodiny v rokokovom štýle,NA,326,800,NA,NA,NA,NA
,Muzikanti, Muzikanti,NA,283,250,NA,NA,NA,NA
,Nábytok - miniatúry (Francúzsko), Nábytok - miniatúry (Francúzsko),NA,308,1e3,800,NA,NA,-200
,NÁHRDELNÍK V SECESNOM ŠTÝLE, NÁHRDELNÍK V SECESNOM ŠTÝLE,NA,280,2900,NA,NA,NA,NA
,"Náhrdelník, náušnice a prsteň"," Náhrdelník, náušnice a prsteň",NA,267,1e3,800,NA,NA,-200
,NÁRAMOK, NÁRAMOK,NA,286,1e3,NA,NA,NA,NA
,NÁRAMOK - PEVNÝ KRUH, NÁRAMOK - PEVNÝ KRUH,NA,283,2400,NA,NA,NA,NA
,NÁRAMOK S BRILIANTAMI, NÁRAMOK S BRILIANTAMI,NA,281,8500,NA,NA,NA,NA
,NÁRAMOK S PERLIČKAMI, NÁRAMOK S PERLIČKAMI,NA,285,1200,NA,NA,NA,NA
,NÁRAMOK SO SMARAGDAMI, NÁRAMOK SO SMARAGDAMI,NA,282,2500,NA,NA,NA,NA
,Náramok v tvare hada, Náramok v tvare hada,NA,311,1700,NA,NA,NA,NA
,Náramok v tvare srdiečok, Náramok v tvare srdiečok,NA,289,5800,NA,NA,NA,NA
,Náušnice - kruhy s diamantmi a rubínmi (Rusko), Náušnice - kruhy s diamantmi a rubínmi (Rusko),NA,291,2500,NA,NA,NA,NA
,Náušnice kruhy (Rusko), Náušnice kruhy (Rusko),NA,290,1100,NA,NA,NA,NA
,Náušnice s diamantami a smaragdami, Náušnice s diamantami a smaragdami,NA,294,650,NA,NA,NA,NA
,Náušnice s diamantmi a smaragdami, Náušnice s diamantmi a smaragdami,NA,282,5800,NA,NA,NA,NA
,Náušnice v tvare kvetu, Náušnice v tvare kvetu,NA,322,600,NA,NA,NA,NA
,Náušnice v tvare slzy s diamantmi (Rusko), Náušnice v tvare slzy s diamantmi (Rusko),NA,292,1300,NA,NA,NA,NA
,Neobarokový písací sekretár (Tabernákulum), Neobarokový písací sekretár (Tabernákulum),NA,327,2500,2e3,NA,NA,-500
,NEOROKOKOVÁ DÓZA S ANJELIKMI, NEOROKOKOVÁ DÓZA S ANJELIKMI,NA,322,1300,NA,NA,NA,NA
,Obrazové hodiny s historickým výjavom, Obrazové hodiny s historickým výjavom,NA,277,2800,NA,NA,NA,NA
,Okrúhly stolík s figurálnym motívom, Okrúhly stolík s figurálnym motívom,NA,330,1700,NA,NA,NA,NA
,Oltárik v neogotickom štýle s Příbramskou madonou, Oltárik v neogotickom štýle s Příbramskou madonou,NA,271,400,NA,NA,NA,NA
,Oválna Misa, Oválna Misa,NA,272,780,600,NA,NA,-180
,Oválny stolík, Oválny stolík,NA,331,1900,NA,NA,NA,NA
,PÁNSKE MANŽETOVÉ GOMBÍKY S BRILIANTAMI, PÁNSKE MANŽETOVÉ GOMBÍKY S BRILIANTAMI,NA,304,1800,NA,NA,NA,NA
,Pánsky prsteň, Pánsky prsteň,NA,289,4500,NA,NA,NA,NA
,PÁNSKY PRSTEŇ, PÁNSKY PRSTEŇ,NA,276,500,NA,NA,NA,NA
,Papagáj - Kombinácia brošne a prívesku, Papagáj - Kombinácia brošne a prívesku,NA,304,3700,NA,NA,NA,NA
,PAPAGÁJE, PAPAGÁJE,NA,339,1500,1500,NA,NA,0
,Pár lámp, Pár lámp,NA,311,1e3,NA,NA,NA,NA
,PÁR OZDOBNÝCH TANIEROV, PÁR OZDOBNÝCH TANIEROV,NA,229,250,250,NA,NA,0
,PÁR POHÁROV, PÁR POHÁROV,NA,325,1200,NA,NA,NA,NA
,Pár porcelánových váz, Pár porcelánových váz,NA,300,1950,1950,NA,NA,0
,PÁR SVIETNIKOV, PÁR SVIETNIKOV,NA,323,1100,NA,NA,NA,NA
,PERLOVÝ PRSTEŇ, PERLOVÝ PRSTEŇ,NA,274,600,NA,NA,NA,NA
,Pevný kruhový náramok, Pevný kruhový náramok,NA,312,1500,NA,NA,NA,NA
,PLATINOVÝ NÁRAMOK, PLATINOVÝ NÁRAMOK,NA,238,2e3,1600,NA,NA,-400
,Podlahové hodiny, Podlahové hodiny,NA,290,2800,2800,NA,NA,0
,Pohár - červený hyalit, Pohár - červený hyalit,NA,271,5800,NA,NA,NA,NA
,POHÁR S HEBREJSKÝMI NÁPISMI, POHÁR S HEBREJSKÝMI NÁPISMI,NA,227,3e3,NA,NA,NA,NA
,Porcelánová šálka s podšálkou, Porcelánová šálka s podšálkou,NA,302,500,NA,NA,NA,NA
,Porcelánová tanečnica, Porcelánová tanečnica,NA,287,200,NA,NA,NA,NA
,Porcelánová váza, Porcelánová váza,NA,307,650,NA,NA,NA,NA
,Porcelánový tanier, Porcelánový tanier,NA,301,350,NA,NA,NA,NA
,POZLÁTENÝ KALICH, POZLÁTENÝ KALICH,NA,228,1e3,NA,NA,NA,NA
,Presýpacie hodiny, Presýpacie hodiny,NA,282,350,280,NA,NA,-70
,Prívesok, Prívesok,NA,313,1500,NA,NA,NA,NA
,PRÍVESOK, PRÍVESOK,NA,295,1e3,NA,NA,NA,NA
,Prívesok Art Deco, Prívesok Art Deco,NA,318,750,NA,NA,NA,NA
,Prívesok krížik, Prívesok krížik,NA,288,4500,NA,NA,NA,NA
,Prívesok s Fénixom, Prívesok s Fénixom,NA,316,800,NA,NA,NA,NA
,Prívesok s morganitom a diamantmi, Prívesok s morganitom a diamantmi,NA,277,27e3,NA,NA,NA,NA
,Prívesok srdce, Prívesok srdce,NA,288,5800,4700,NA,NA,-1100
,Prívesok v tvare srdca  (Rusko), Prívesok v tvare srdca  (Rusko),NA,295,650,NA,NA,NA,NA
,Prívesok v tvare štvorcípej hviezdy, Prívesok v tvare štvorcípej hviezdy,NA,299,3400,NA,NA,NA,NA
,Prsteň, Prsteň,NA,320,650,500,NA,NA,-150
,PRSTEŇ, PRSTEŇ,NA,241,1500,NA,NA,NA,NA
,Prsteň Art Deco (Rakúsko), Prsteň Art Deco (Rakúsko),NA,287,3900,NA,NA,NA,NA
,Prsteň Art Deco s modrým zafírom (Rakúsko), Prsteň Art Deco s modrým zafírom (Rakúsko),NA,288,1300,1050,NA,NA,-250
,Prsteň s akvamarínom, Prsteň s akvamarínom,NA,297,1500,NA,NA,NA,NA
,PRSTEŇ S AKVAMARÍNOM, PRSTEŇ S AKVAMARÍNOM,NA,271,800,800,NA,NA,0
,Prsteň s centrálnym diamantom (Rakúsko), Prsteň s centrálnym diamantom (Rakúsko),NA,289,5800,NA,NA,NA,NA
,PRSTEŇ SO SMARADGAMI, PRSTEŇ SO SMARADGAMI,NA,270,900,NA,NA,NA,NA
,Prsteň v tvare kruhu s diamantmi (Rusko), Prsteň v tvare kruhu s diamantmi (Rusko),NA,293,700,NA,NA,NA,NA
,Rámik na fotografiu, Rámik na fotografiu,NA,297,100,NA,NA,NA,NA
,Retiazka s príveskom, Retiazka s príveskom,NA,293,1300,NA,NA,NA,NA
,RUČIACI JELEŇ, RUČIACI JELEŇ,NA,230,1300,NA,NA,NA,NA
,ŠÁLKA S PODŠÁLKOU, ŠÁLKA S PODŠÁLKOU,NA,346,250,NA,NA,NA,NA
,Salónne stoličky (4 ks), Salónne stoličky (4 ks),NA,333,800,650,NA,NA,-150
,Salónny stolík, Salónny stolík,NA,332,1500,NA,NA,NA,NA
,SAMOVAR, SAMOVAR,NA,318,2800,NA,NA,NA,NA
,Secená váza Legras, Secená váza Legras,NA,276,800,NA,NA,NA,NA
,SECESNÁ IHLICA S CHROBÁČIKOM, SECESNÁ IHLICA S CHROBÁČIKOM,NA,296,4300,NA,NA,NA,NA
,Secesná žardiniéra, Secesná žardiniéra,NA,288,2200,NA,NA,NA,NA
,SECESNÝ KALAMÁR, SECESNÝ KALAMÁR,NA,266,200,200,NA,NA,0
,SECESNÝ NÁHRDELNÍK S BRILIANTAMI, SECESNÝ NÁHRDELNÍK S BRILIANTAMI,NA,278,6700,NA,NA,NA,NA
,Secesný prívesok s diamantmi, Secesný prívesok s diamantmi,NA,298,1200,NA,NA,NA,NA
,Secesný prívesok s diamantmi a smaragdom, Secesný prívesok s diamantmi a smaragdom,NA,301a,8500,15e3,NA,NA,6500
,Secesný prsteň, Secesný prsteň,NA,292,1300,NA,NA,NA,NA
,Secesný prsteň s diamantami a rubínmi, Secesný prsteň s diamantami a rubínmi,NA,283,11e3,NA,NA,NA,NA
,Secesný prsteň v tvare mašle, Secesný prsteň v tvare mašle,NA,290,2400,NA,NA,NA,NA
,Servírovací stolík Art Deco, Servírovací stolík Art Deco,NA,320,800,NA,NA,NA,NA
,Šest likérových pohárikov s podnosom, Šest likérových pohárikov s podnosom,NA,269,1e3,800,NA,NA,-200
,Šesťhranný stolík pod kvety, Šesťhranný stolík pod kvety,NA,310,200,NA,NA,NA,NA
,Sklenená fľaška v postriebrenom obklade, Sklenená fľaška v postriebrenom obklade,NA,277,400,NA,NA,NA,NA
,SKLENENÁ ŽARDINIÉRA, SKLENENÁ ŽARDINIÉRA,NA,265,200,NA,NA,NA,NA
,Sklenený pohár - medailón s poľovníckym výjavom, Sklenený pohár - medailón s poľovníckym výjavom,NA,274,850,NA,NA,NA,NA
,Sklenený pohár so zatavenou mincou, Sklenený pohár so zatavenou mincou,NA,273,2900,NA,NA,NA,NA
,Sklenený svadobný pohár - Daniel v jame levovej, Sklenený svadobný pohár - Daniel v jame levovej,NA,272,3900,NA,NA,NA,NA
,SLONOVINOVÁ SOCHA LOVCA, SLONOVINOVÁ SOCHA LOVCA,NA,261,1600,NA,NA,NA,NA
,Smaragdový náhrdelník, Smaragdový náhrdelník,NA,286,5400,NA,NA,NA,NA
,Smaragdový prívesok, Smaragdový prívesok,NA,325,450,NA,NA,NA,NA
,Smaragdový prsteň, Smaragdový prsteň,NA,324,550,NA,NA,NA,NA
,"Šperková sada -  náramok, náušnice, brošňa"," Šperková sada -  náramok, náušnice, brošňa",NA,306,2500,NA,NA,NA,NA
,STOLÍK, STOLÍK,NA,348,350,NA,NA,NA,NA
,Stolík Biedermeyer, Stolík Biedermeyer,NA,322,450,NA,NA,NA,NA
,STOLÍK NA KVETINY V EMPÍROVOM ŠTÝLE, STOLÍK NA KVETINY V EMPÍROVOM ŠTÝLE,NA,267,600,NA,NA,NA,NA
,STOLOVÁ OZDOBA, STOLOVÁ OZDOBA,NA,262,800,NA,NA,NA,NA
,Stolová ozdoba - Deti s ovenčeným capkom, Stolová ozdoba - Deti s ovenčeným capkom,NA,295,600,600,NA,NA,0
,Stolové zrkadlo, Stolové zrkadlo,NA,310,1200,NA,NA,NA,NA
,STRIEBORNÁ CUKORNIČKA, STRIEBORNÁ CUKORNIČKA,NA,255,750,NA,NA,NA,NA
,Strieborná dóza, Strieborná dóza,NA,308,1800,2300,NA,NA,500
,STRIEBORNÁ DÓZA, STRIEBORNÁ DÓZA,NA,252,1500,NA,NA,NA,NA
,STRIEBORNÁ DÓZIČKA, STRIEBORNÁ DÓZIČKA,NA,262,350,NA,NA,NA,NA
,STRIEBORNÁ KAZETA, STRIEBORNÁ KAZETA,NA,254,900,NA,NA,NA,NA
,STRIEBORNÁ KONVIČKA, STRIEBORNÁ KONVIČKA,NA,256,750,NA,NA,NA,NA
,Strieborná konvička v barokovom štýle, Strieborná konvička v barokovom štýle,NA,268,500,400,NA,NA,-100
,Strieborná likérová súprava s podnosom, Strieborná likérová súprava s podnosom,NA,277,900,NA,NA,NA,NA
,Strieborná loď, Strieborná loď,NA,274,2800,NA,NA,NA,NA
,Strieborná loď trojsťažník, Strieborná loď trojsťažník,NA,294,2500,2600,NA,NA,100
,STRIEBORNÁ MISA, STRIEBORNÁ MISA,NA,251,2500,NA,NA,NA,NA
,Strieborná misa Art Deco, Strieborná misa Art Deco,NA,307,1800,NA,NA,NA,NA
,Strieborná misa s motívom hrozna, Strieborná misa s motívom hrozna,NA,309,1500,NA,NA,NA,NA
,Strieborná misa s motívom Putti II., Strieborná misa s motívom Putti II.,NA,306,2500,NA,NA,NA,NA
,Strieborná misa s úchytmi v tvare hada, Strieborná misa s úchytmi v tvare hada,NA,291,1200,NA,NA,NA,NA
,STRIEBORNÁ OVÁLNA KAZETA S POLODRAHOKAMAMI, STRIEBORNÁ OVÁLNA KAZETA S POLODRAHOKAMAMI,NA,248,3500,NA,NA,NA,NA
,STRIEBORNÁ TABATIERKA, STRIEBORNÁ TABATIERKA,NA,328,800,NA,NA,NA,NA
,STRIEBORNÁ TOALETNÁ SADA, STRIEBORNÁ TOALETNÁ SADA,NA,261,350,NA,NA,NA,NA
,STRIEBORNÁ TRUHLICA S FLORÁLNYM DEKOROM, STRIEBORNÁ TRUHLICA S FLORÁLNYM DEKOROM,NA,320,2200,1800,NA,NA,-400
,STRIEBORNÁ VÁZA, STRIEBORNÁ VÁZA,NA,250,2800,NA,NA,NA,NA
,Strieborná žardiniéra, Strieborná žardiniéra,NA,293,2600,2100,NA,NA,-500
,Strieborné lyžičky v pôvodnej kazete, Strieborné lyžičky v pôvodnej kazete,NA,299,200,NA,NA,NA,NA
,Strieborný etažér, Strieborný etažér,NA,301,2e3,NA,NA,NA,NA
,Strieborný korbeľ barokovom štýle, Strieborný korbeľ barokovom štýle,NA,302,1e3,NA,NA,NA,NA
,STRIEBORNÝ KOŠÍK, STRIEBORNÝ KOŠÍK,NA,260,500,NA,NA,NA,NA
,STRIEBORNÝ KRÍŽ S REŤAZOU, STRIEBORNÝ KRÍŽ S REŤAZOU,NA,321,1500,NA,NA,NA,NA
,Strieborný náramok v antickom štýle, Strieborný náramok v antickom štýle,NA,317,800,650,NA,NA,-150
,Strieborný oválny podnos, Strieborný oválny podnos,NA,305,2300,NA,NA,NA,NA
,Strieborný podnos, Strieborný podnos,NA,291,2700,NA,NA,NA,NA
,STRIEBORNÝ PODNOS, STRIEBORNÝ PODNOS,NA,249,3e3,NA,NA,NA,NA
,Strieborný pohár, Strieborný pohár,NA,303,1e3,NA,NA,NA,NA
,STRIEBORNÝ POHÁR, STRIEBORNÝ POHÁR,NA,327,900,NA,NA,NA,NA
,Strieborný pohár v neorenesančnom štýle, Strieborný pohár v neorenesančnom štýle,NA,305,700,NA,NA,NA,NA
,Strieborný pokál, Strieborný pokál,NA,289,1e3,NA,NA,NA,NA
,Strieborný pokál s lapis lazuli, Strieborný pokál s lapis lazuli,NA,290,3e3,NA,NA,NA,NA
,Strieborný príbor v kazete pre 6 osôb, Strieborný príbor v kazete pre 6 osôb,NA,300,900,NA,NA,NA,NA
,STRIEBORNÝ RÁM NA ZRKADLO, STRIEBORNÝ RÁM NA ZRKADLO,NA,253,1500,1200,NA,NA,-300
,STRIEBORNÝ STOJAN SO SKLENENÝMI KARAFAMI, STRIEBORNÝ STOJAN SO SKLENENÝMI KARAFAMI,NA,257,700,NA,NA,NA,NA
,STRIEBORNÝ SVIETNIK, STRIEBORNÝ SVIETNIK,NA,263,280,NA,NA,NA,NA
,Strieborný svietnik s figurálnym motívom (Viedeň), Strieborný svietnik s figurálnym motívom (Viedeň),NA,300,8e3,NA,NA,NA,NA
,Strieborný trojsťažník, Strieborný trojsťažník,NA,278,3600,2900,NA,NA,-700
,SÚBOR KAMEÍ, SÚBOR KAMEÍ,NA,302,430,NA,NA,NA,NA
,SÚPRAVA - NÁUŠNICE A PRSTEŇ, SÚPRAVA - NÁUŠNICE A PRSTEŇ,NA,287,4e3,NA,NA,NA,NA
,Súprava - smaragdový prsteŇ a prívesok, Súprava - smaragdový prsteŇ a prívesok,NA,285,5800,NA,NA,NA,NA
,Súprava šperkov s kameí, Súprava šperkov s kameí,NA,299,2500,2e3,NA,NA,-500
,Súprava z modrého topásu a diamantov v štýle ART DECO, Súprava z modrého topásu a diamantov v štýle ART DECO,NA,287,41800,NA,NA,NA,NA
,Svietnik - Putti, Svietnik - Putti,NA,313,500,NA,NA,NA,NA
,TANIERIK NA BONBÓNY, TANIERIK NA BONBÓNY,NA,338,150,NA,NA,NA,NA
,TRI BROŠNE, TRI BROŠNE,NA,303,600,NA,NA,NA,NA
,Trojica adorujúcich figúr, Trojica adorujúcich figúr,NA,22,NA,NA,NA,NA,NA
,Vitrína so zrkadlom, Vitrína so zrkadlom,NA,311,450,350,NA,NA,-100
,Vitrína v neogotickom štýle, Vitrína v neogotickom štýle,NA,334,700,550,NA,NA,-150
,VYCHÁDZKOVÁ PALIČKA, VYCHÁDZKOVÁ PALIČKA,NA,263,280,NA,NA,NA,NA
,VYCHÁDZKOVÁ PALIČKA S HLAVOU PUDLÍKA, VYCHÁDZKOVÁ PALIČKA S HLAVOU PUDLÍKA,NA,264,150,NA,NA,NA,NA
,ŽARDINIÉRA, ŽARDINIÉRA,NA,264,400,NA,NA,NA,NA
,ŽARDINIÉRA SO SKLENENOU VLOŽKOU, ŽARDINIÉRA SO SKLENENOU VLOŽKOU,NA,324,1100,NA,NA,NA,NA
,ŽIDOVSKÝ SVADOBNÝ PRSTEŇ - DÁVIDOV CHRÁM, ŽIDOVSKÝ SVADOBNÝ PRSTEŇ - DÁVIDOV CHRÁM,NA,275,600,600,NA,NA,0
,Zlatý náramok, Zlatý náramok,NA,307,2250,NA,NA,NA,NA
,ZLATÝ NÁRAMOK, ZLATÝ NÁRAMOK,NA,284,2200,NA,NA,NA,NA
,Zlatý prsteň, Zlatý prsteň,NA,283,7500,NA,NA,NA,NA
